hour,updated_type,updated_subtype,latitude_bin,longitude_bin,alert_count
0:00,Accident,Major,41.66,-87.59,3
0:00,Accident,Major,41.66,-87.57,1
0:00,Accident,Major,41.67,-87.6,1
0:00,Accident,Major,41.69,-87.66,3
0:00,Accident,Major,41.69,-87.6,4
0:00,Accident,Major,41.7,-87.69,1
0:00,Accident,Major,41.71,-87.64,2
0:00,Accident,Major,41.71,-87.62,2
0:00,Accident,Major,41.71,-87.61,7
0:00,Accident,Major,41.71,-87.6,1
0:00,Accident,Major,41.72,-87.66,1
0:00,Accident,Major,41.72,-87.64,2
0:00,Accident,Major,41.72,-87.62,1
0:00,Accident,Major,41.73,-87.62,3
0:00,Accident,Major,41.74,-87.63,3
0:00,Accident,Major,41.74,-87.62,3
0:00,Accident,Major,41.74,-87.57,1
0:00,Accident,Major,41.75,-87.63,1
0:00,Accident,Major,41.75,-87.62,3
0:00,Accident,Major,41.76,-87.63,5
0:00,Accident,Major,41.77,-87.63,3
0:00,Accident,Major,41.78,-87.74,1
0:00,Accident,Major,41.78,-87.7,1
0:00,Accident,Major,41.78,-87.63,6
0:00,Accident,Major,41.78,-87.6,1
0:00,Accident,Major,41.79,-87.8,1
0:00,Accident,Major,41.8,-87.8,1
0:00,Accident,Major,41.8,-87.72,1
0:00,Accident,Major,41.8,-87.58,1
0:00,Accident,Major,41.81,-87.74,1
0:00,Accident,Major,41.81,-87.59,1
0:00,Accident,Major,41.82,-87.74,3
0:00,Accident,Major,41.82,-87.73,2
0:00,Accident,Major,41.82,-87.63,4
0:00,Accident,Major,41.83,-87.69,2
0:00,Accident,Major,41.83,-87.68,1
0:00,Accident,Major,41.83,-87.63,3
0:00,Accident,Major,41.84,-87.72,1
0:00,Accident,Major,41.84,-87.68,2
0:00,Accident,Major,41.84,-87.67,1
0:00,Accident,Major,41.84,-87.65,1
0:00,Accident,Major,41.84,-87.63,4
0:00,Accident,Major,41.84,-87.6,1
0:00,Accident,Major,41.85,-87.73,1
0:00,Accident,Major,41.85,-87.67,1
0:00,Accident,Major,41.85,-87.64,4
0:00,Accident,Major,41.85,-87.63,3
0:00,Accident,Major,41.85,-87.62,1
0:00,Accident,Major,41.85,-87.61,2
0:00,Accident,Major,41.86,-87.64,10
0:00,Accident,Major,41.86,-87.63,1
0:00,Accident,Major,41.87,-87.78,4
0:00,Accident,Major,41.87,-87.77,2
0:00,Accident,Major,41.87,-87.76,3
0:00,Accident,Major,41.87,-87.75,2
0:00,Accident,Major,41.87,-87.73,1
0:00,Accident,Major,41.87,-87.72,1
0:00,Accident,Major,41.87,-87.69,1
0:00,Accident,Major,41.87,-87.67,1
0:00,Accident,Major,41.87,-87.65,1
0:00,Accident,Major,41.87,-87.64,10
0:00,Accident,Major,41.88,-87.7,2
0:00,Accident,Major,41.88,-87.68,1
0:00,Accident,Major,41.88,-87.67,2
0:00,Accident,Major,41.88,-87.66,3
0:00,Accident,Major,41.88,-87.65,9
0:00,Accident,Major,41.88,-87.64,5
0:00,Accident,Major,41.88,-87.62,1
0:00,Accident,Major,41.89,-87.66,1
0:00,Accident,Major,41.89,-87.65,3
0:00,Accident,Major,41.89,-87.61,1
0:00,Accident,Major,41.9,-87.71,1
0:00,Accident,Major,41.9,-87.66,9
0:00,Accident,Major,41.9,-87.62,1
0:00,Accident,Major,41.91,-87.68,1
0:00,Accident,Major,41.91,-87.67,4
0:00,Accident,Major,41.91,-87.66,2
0:00,Accident,Major,41.91,-87.63,2
0:00,Accident,Major,41.92,-87.68,2
0:00,Accident,Major,41.92,-87.67,2
0:00,Accident,Major,41.93,-87.69,1
0:00,Accident,Major,41.93,-87.68,1
0:00,Accident,Major,41.93,-87.64,1
0:00,Accident,Major,41.94,-87.72,1
0:00,Accident,Major,41.94,-87.71,1
0:00,Accident,Major,41.94,-87.7,1
0:00,Accident,Major,41.95,-87.72,2
0:00,Accident,Major,41.95,-87.68,2
0:00,Accident,Major,41.97,-87.79,1
0:00,Accident,Major,41.97,-87.77,5
0:00,Accident,Major,41.97,-87.76,4
0:00,Accident,Major,41.97,-87.75,4
0:00,Accident,Major,41.98,-87.88,3
0:00,Accident,Major,41.98,-87.84,1
0:00,Accident,Major,41.98,-87.83,1
0:00,Accident,Major,41.98,-87.82,1
0:00,Accident,Major,41.98,-87.81,7
0:00,Accident,Major,41.98,-87.79,3
0:00,Accident,Major,41.98,-87.75,2
0:00,Accident,Major,41.98,-87.68,1
0:00,Accident,Major,41.99,-87.75,5
0:00,Accident,Major,41.99,-87.72,1
0:00,Accident,Major,41.99,-87.71,1
0:00,Accident,Major,41.99,-87.67,2
0:00,Accident,Major,42.0,-87.81,1
0:00,Accident,Minor,41.66,-87.62,1
0:00,Accident,Minor,41.66,-87.56,1
0:00,Accident,Minor,41.67,-87.59,1
0:00,Accident,Minor,41.69,-87.69,1
0:00,Accident,Minor,41.69,-87.6,1
0:00,Accident,Minor,41.7,-87.59,1
0:00,Accident,Minor,41.71,-87.68,1
0:00,Accident,Minor,41.71,-87.61,1
0:00,Accident,Minor,41.72,-87.64,1
0:00,Accident,Minor,41.73,-87.66,1
0:00,Accident,Minor,41.73,-87.62,2
0:00,Accident,Minor,41.74,-87.63,1
0:00,Accident,Minor,41.74,-87.59,1
0:00,Accident,Minor,41.75,-87.74,1
0:00,Accident,Minor,41.75,-87.73,1
0:00,Accident,Minor,41.75,-87.64,1
0:00,Accident,Minor,41.75,-87.63,1
0:00,Accident,Minor,41.76,-87.63,1
0:00,Accident,Minor,41.77,-87.7,1
0:00,Accident,Minor,41.77,-87.67,1
0:00,Accident,Minor,41.77,-87.63,1
